,arrivals_exponential_rate,services_exponential_rate,number_of_stations,queue_size_avg,wait_time_avg,response_time_avg,end_to_end_delay_avg,drop_probabilities,queue_capacity
3388,470,680;680;680,3,1.3619738315484713;1.3484458668916735;1.3253452703900221,0.002927776230157233;0.0029112911411157652;0.002874515663434916,0.004393431007637261;0.0043841451215174305;0.0043480093944595595,0.013135712622507003;0.0;0.0,0.0056;0.004233751345045706;0.004564826597184351,10.0
3389,470,690;690;690,3,1.3097109957789326;1.2958115503886014;1.2838952657025784,0.0028081172177581745;0.002788437474877299;0.0027732398181894227,0.00425430062115116;0.0042327311181920135;0.0042288836905176016,0.012725467839583879;0.0;0.0,0.00484;0.0036276302831762365;0.0037014997629829854,10.0
3390,470,700;700;700,3,1.2572920066389757;1.2601639048168172;1.2072680817384942,0.0026910001360789136;0.0027069577373732864;0.002602223126850309,0.004117115632601442;0.004141992851404272;0.004022255073154911,0.01229044067999023;0.0;0.0,0.00473;0.0036574460175034917;0.0033885314346800057,10.0
3391,470,710;710;710,3,1.206197716307815;1.1944716035250666;1.1660392357900489,0.0025664124186347745;0.0025495416663003792;0.002495335309823412,0.003973303662292289;0.003961392550727567;0.003899286956483053,0.011841406922119147;0.0;0.0,0.00315;0.003129890453834116;0.002586267623350877,10.0
3392,470,720;720;720,3,1.1569885366392432;1.1356168038633172;1.09897684793124,0.0024693082440955406;0.002430880632879707;0.002357662917345545,0.003859181589231097;0.0038234999615733073;0.003739834333112179,0.011426526990012866;0.0;0.0,0.00291;0.002938610127674085;0.002192894218001851,10.0
3393,470,730;730;730,3,1.0983712911640022;1.0897403466530367;1.0864931069502275,0.002339739712715385;0.0023278117182851817;0.002325853272877821,0.0037093777451825474;0.0036964373117180163;0.0036960605543356574,0.011105182209930448;0.0;0.0,0.00309;0.002748520413281172;0.002132474978624956,10.0
3394,470,740;740;740,3,1.0712103048095436;1.0514561449621584;1.0399735309071314,0.002277400952710307;0.0022414030664967203;0.0022230346072975833,0.003628341471668482;0.003595365401644194;0.0035751988749008045,0.010803184481133175;0.0;0.0,0.00269;0.002657227659233114;0.002714631865756427,10.0
3395,470,750;750;750,3,1.0250445898386509;0.9953699674577662;0.9942369159624668,0.002187033256843624;0.0021280041760713894;0.0021302962332557115,0.0035205922630995048;0.0034592853206844017;0.00346253808691451,0.010446645413332938;0.0;0.0,0.00258;0.002035291758572288;0.0021901623533194022,10.0
3396,470,760;760;760,3,0.9742642047414174;0.9656504841044677;0.9296164682687592,0.0020881768222749167;0.002073443712545916;0.0019983053267251098,0.0034096514147520887;0.0033947394926486804;0.0033176125778472064,0.010123944381635738;0.0;0.0,0.00242;0.0018344761217370385;0.0011449001727393243,10.0
3397,470,770;770;770,3,0.9220536630089033;0.9074133806105659;0.8970577242034441,0.001964125450753231;0.001936253268681779;0.001916169260021951,0.0032675057464996277;0.0032336820312839423;0.003215226172848746,0.009717592847995905;0.0;0.0,0.00158;0.0016726595286505543;0.0010032706623592912,10.0
3398,470,780;780;780,3,0.8755178996301692;0.8812716542844476;0.8611137390175212,0.00185698940430647;0.0018723331873463016;0.0018319887268639541,0.0031274805364738287;0.0031538650479805493;0.003109129820771916,0.009391732046600699;0.0;0.0,0.00149;0.0014422499098593806;0.0014042408072378583,10.0
3399,470,790;790;790,3,0.8844032905553654;0.8821178223909374;0.8558195859686465,0.0018761267159152178;0.0018742315725984533;0.0018201023193473826,0.003144400862754079;0.0031464011765728896;0.0030837921236008007,0.009376713204512561;0.0;0.0,0.00137;0.0016122571600240337;0.0009528681330805725,10.0
3400,470,800;800;800,3,0.7841255860073515;0.7874167741863429;0.8060759817691515,0.0016760443622752471;0.0016846314783740559;0.0017260790503823569,0.002924521765827743;0.002930888918103111;0.0029805786121895298,0.008837661111604422;0.0;0.0,0.00099;0.0008608608608608609;0.0009417610932443669,10.0
3401,470,810;810;810,3,0.7785102708618112;0.764142044530462;0.8034014741054368,0.0016610577935962584;0.0016320990725640176;0.0017178013704070507,0.0028930578849349045;0.0028654929370359686;0.002962271826253846,0.008722527543422167;0.0;0.0,0.0011;0.0010211334581385339;0.001062262619379278,10.0
3402,470,820;820;820,3,0.7650524044546043;0.7608922555652954;0.7830159568393343,0.001620046905767958;0.0016126302232232306;0.0016615471045647373,0.002833305251001208;0.0028278746067361164;0.00288389749132496,0.008545629663556754;0.0;0.0,0.00108;0.0008208947753050826;0.0012123155226482583,10.0
3403,470,830;830;830,3,0.743345430216238;0.7485704165450778;0.7264257164411789,0.001579622334745798;0.0015924794370490109;0.001546345798438338,0.0027806247332589455;0.0028011235918576956;0.002755380009543787,0.008338162462754045;0.0;0.0,0.00097;0.0010009809613421153;0.0006112163204777507,10.0
3404,470,840;840;840,3,0.6895976373201588;0.7010886394752871;0.6998056445087046,0.0014675205771365232;0.0014931858780575364;0.0014916776486733282,0.002657992575677402;0.002684242435464297;0.002683302908796895,0.00802556572313694;0.0;0.0,0.00066;0.0007705162458847427;0.0008311969235699407,10.0
3405,470,850;850;850,3,0.669610690910654;0.676380652043076;0.6684181382904582,0.0014273814357539097;0.001442784097310168;0.00142660248128797,0.002603852757672051;0.002622283360573905;0.0026074969036779584,0.007834156786945374;0.0;0.0,0.00061;0.0006203846384758551;0.0005506883604505632,10.0
3406,470,860;860;860,3,0.6293456905411071;0.6286571238843006;0.6341681945885786,0.001350834446193086;0.0013500865083426834;0.0013623767159082643,0.002509669580368458;0.0025133628449740056;0.0025288738834663774,0.00755225572616655;0.0;0.0,0.00058;0.00054032419451671;0.00042047934645495866,10.0
3407,470,870;870;870,3,0.6353762868697209;0.6322493040325421;0.6314819371324739,0.0013472056884615106;0.0013411860265208349;0.0013402291574830456,0.0024975475629007344;0.0024922304781547643;0.0024906266500853685,0.007480828156164125;0.0;0.0,0.00046;0.00044021130142468386;0.0005004704422156827,10.0
3408,470,880;880;880,3,0.6023849929966343;0.593381358737129;0.6051462906855389,0.0012821561715067415;0.0012634841868660951;0.0012890147045683028,0.002417547223167933;0.0023957816960419953;0.002425198578210208,0.007238741710829655;0.0;0.0,0.00054;0.000390214618039922;0.0003603423252089485,10.0
3409,470,890;890;890,3,0.5880870899613414;0.5965071690430114;0.5982082359991346,0.0012482338382144374;0.0012667572760893587;0.001270826224022881,0.002375682796418063;0.0023904545433287632;0.002396705775697599,0.007163328582916424;0.0;0.0,0.00039;0.0005102091857661641;0.0003503222965127918,10.0
